"suppl_name";"buyer_name";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
Анапский Хлебокомбинат;Лента;51;3;51;51;0.0588;1.0000;1.0000
Черноголовский источник;КОРУС Консалтинг СНГ;23;23;23;23;1.0000;1.0000;1.0000
Антов П.Г.;Гиперглобус;53;53;53;53;1.0000;1.0000;1.0000
Антов П.Г.;Лента;116;58;116;116;0.5000;1.0000;1.0000
Черноголовский источник;Виктория Балтия;9;9;9;9;1.0000;1.0000;1.0000
АП Дельта;Лента;7;7;7;7;1.0000;1.0000;1.0000
АПИДЕЙ;Солнечный круг;6;1;0;6;0.1667;0.0000;1.0000
ЧЕРЕПОВЕЦКИЙ ХЛЕБОКОМБИНАТ;Лента;254;253;253;254;0.9961;0.9961;1.0000
АПК;"Торговый дом ""ПЕРЕКРЕСТОК";9;0;0;9;0.0000;0.0000;1.0000
ЧЕРЕПОВЕЦКИЙ ХЛЕБОКОМБИНАТ;КОРУС Консалтинг СНГ;687;687;686;687;1.0000;0.9985;1.0000
Черёмушки;ТАНДЕР;37;37;37;37;1.0000;1.0000;1.0000
Черёмушки;Т и К Продукты;12;3;3;12;0.2500;0.2500;1.0000
Черёмушки;ДИКСИ ЮГ;60;0;0;60;0.0000;0.0000;1.0000
Челны-Бройлер;Компания Холидей;9;0;9;9;0.0000;1.0000;1.0000
"Чебоксарская макаронно-кондитерская фабрика ""Вавилон";Табыш;4;0;0;4;0.0000;0.0000;1.0000
Цуканов Д.В.;ТАНДЕР;4;4;4;4;1.0000;1.0000;1.0000
"Цитадель"" ДКК";Лента;1;0;1;1;0.0000;1.0000;1.0000
Цирикидзе О.О.;ТАНДЕР;59;59;59;59;1.0000;1.0000;1.0000
Цеолиты Поволжья;ЭССЕН Логистик;1;1;1;1;1.0000;1.0000;1.0000
Центр корпоративного обслуживания;Лента;32;0;32;32;0.0000;1.0000;1.0000
АПК Геленджик;ТАНДЕР;4;4;4;4;1.0000;1.0000;1.0000
Апплика;"Торговый дом ""ПЕРЕКРЕСТОК";1;1;1;1;1.0000;1.0000;1.0000
